
  1  1   1 	2.487210625169-0.1498078541i  -2.487210625169+0.1498078541i
  1  2   1 	0.376644399653-0.1464588087i  0.671046062009-0.1486864686i 	1.047690461662-0.2951452773i  0.423071083670-0.2819738287i 	4.974421250339-0.2996157083i  1.047690461662-0.2951452773i
  1  2  -1 	0.376644399653-0.1464588087i  0.671046062009-0.1486864686i 	0.423071083670-0.2819738287i  1.047690461083-0.2951452773i 	1.047690461083-0.2951452773i  4.974421250339-0.2996157083i
  1  3   1 	0.174238362151-0.1388189741i  0.248832721530-0.1431548545i 	0.423071083681-0.2819738287i  0.210375495898-0.2608055821i 	1.047690461083-0.2951452773i  0.423071083681-0.2819738287i
  1  3  -1 	0.174238362151-0.1388189741i  0.248832721530-0.1431548545i 	0.210375495898-0.2608055821i  0.423071083670-0.2819738287i 	0.423071083670-0.2819738287i  1.047690461083-0.2951452773i
  1  4   1 	0.086589161921-0.1272963686i  0.123786333980-0.1335092136i 	0.210375495901-0.2608055821i  0.092086337656-0.2327642584i 	0.423071083670-0.2819738287i  0.210375495901-0.2608055821i
  1  4  -1 	0.086589161921-0.1272963686i  0.123786333980-0.1335092136i 	0.092086337656-0.2327642584i  0.210375495898-0.2608055821i 	0.210375495898-0.2608055821i  0.423071083670-0.2819738287i
  1  5   1 	0.048196923447-0.1254411812i  0.057664113255-0.1202628559i 	0.146561951052-0.2656029165i  0.048960533474-0.2322771945i 	0.210375495898-0.2608055821i  0.092086337656-0.2327642584i
  1  5  -1 	0.048196923447-0.1254411812i  0.057664113255-0.1202628559i 	0.048960533474-0.2322771945i  0.146561951052-0.2656029165i 	0.092086337656-0.2327642584i  0.210375495898-0.2608055821i
  1  6   1 	0.038155254239-0.1218204615i  0.044696197173-0.1242276570i 	0.111700418891-0.2556696300i  0.030043973934-0.2230672618i 	0.146561951052-0.2656029165i  0.048960533474-0.2322771945i
  1  6  -1 	0.038155254239-0.1218204615i  0.044696197173-0.1242276570i 	0.030043973934-0.2230672618i  0.111700418891-0.2556696300i 	0.048960533474-0.2322771945i  0.146561951052-0.2656029165i
  1  7   1 	0.019120583593-0.1136010857i  0.029341926311-0.1182589211i 	0.059209856827-0.2364419157i  -0.000799660036-0.2052532840i 	0.111700418891-0.2556696300i  0.030043973934-0.2230672618i
  1  7  -1 	0.019120583593-0.1136010857i  0.029341926311-0.1182589211i 	-0.000799660036-0.2052532840i  0.059209856827-0.2364419157i 	0.030043973934-0.2230672618i  0.111700418891-0.2556696300i
  1  8   1 	-0.002520179852-0.1013153726i  0.008285697755-0.1079226217i 	0.005829278552-0.2091492825i  -0.034807537248-0.1800006762i 	0.059209856827-0.2364419157i  -0.000799660036-0.2052532840i
  1  8  -1 	-0.002520179852-0.1013153726i  0.008285697755-0.1079226217i 	-0.034807537248-0.1800006762i  0.005829278552-0.2091492825i 	-0.000799660036-0.2052532840i  0.059209856827-0.2364419157i
  1  9   1 	-0.022279227390-0.0857520523i  -0.012819782331-0.0938856140i 	-0.039669584458-0.1755193571i  -0.065399150855-0.1489459934i 	0.005829278552-0.2091492825i  -0.034807537248-0.1800006762i
  1  9  -1 	-0.022279227390-0.0857520523i  -0.012819782331-0.0938856140i 	-0.065399150855-0.1489459934i  -0.039669584458-0.1755193571i 	-0.034807537248-0.1800006762i  0.005829278552-0.2091492825i
  1 10   1 	-0.037869982862-0.0678968286i  -0.030675972790-0.0770435720i 	-0.073982435888-0.1376489035i  -0.088795891793-0.1140724044i 	-0.039669584458-0.1755193571i  -0.065399150855-0.1489459934i
  1 10  -1 	-0.037869982862-0.0678968286i  -0.030675972790-0.0770435720i 	-0.088795891793-0.1140724044i  -0.073982435888-0.1376489035i 	-0.065399150855-0.1489459934i  -0.039669584458-0.1755193571i
  2  2  -1 	0.174238362151-0.1388189741i  0.248832721530-0.1431548545i 	0.210375495898-0.2608055821i  0.423071083670-0.2819738287i 	0.423071083670-0.2819738287i  1.047690461083-0.2951452773i
  2  3  -1 	0.086589161921-0.1272963686i  0.123786333980-0.1335092136i 	0.092086337656-0.2327642584i  0.210375495898-0.2608055821i 	0.210375495898-0.2608055821i  0.423071083670-0.2819738287i
  2  4  -1 	0.034422224486-0.1125014025i  0.057664113255-0.1202628559i 	0.015076204419-0.1993217581i  0.092086337656-0.2327642584i 	0.092086337656-0.2327642584i  0.210375495898-0.2608055821i
  2  5   1 	0.110368714315-0.1405825892i  0.123786333980-0.1335092136i 	0.299854243733-0.2922807644i  0.146561951052-0.2656029165i 	0.423071083670-0.2819738287i  0.210375495898-0.2608055821i
