332 1 1 -1.550931e+02 -3.775607e-01
332 1 2 1.422583e+02 -7.483129e-01
332 1 3 1.884841e+01 -7.281502e-01
332 1 4 4.747351e+00 -6.954087e-01
332 1 5 1.381578e+00 -3.337166e-01
332 1 6 6.192222e-01 -2.809141e-02
332 1 7 8.406574e-01 -5.490239e-02
332 1 8 7.523379e-01 -7.922429e-02
332 1 9 5.789223e-01 -1.000094e-01
332 1 10 4.239266e-01 -1.163831e-01
332 2 1 7.112916e+01 -3.741565e-01
332 2 2 -1.456689e+02 -7.416358e-01
332 2 3 7.350284e+01 -7.218608e-01
332 2 4 1.046228e+01 -6.897441e-01
332 2 5 2.062307e+00 -3.311829e-01
332 2 6 9.106887e-01 -2.756799e-02
332 2 7 1.040429e+00 -5.387416e-02
332 2 8 8.069023e-01 -7.773234e-02
332 2 9 5.746867e-01 -9.809264e-02
332 2 10 4.072710e-01 -1.141192e-01
332 3 1 9.424205e+00 -3.640751e-01
332 3 2 7.350284e+01 -7.218608e-01
332 3 3 -1.540551e+02 -7.032297e-01
332 3 4 7.167594e+01 -6.729558e-01
332 3 5 8.109928e+00 -3.236789e-01
332 3 6 2.590905e+00 -2.602246e-02
332 3 7 1.743468e+00 -5.083826e-02
332 3 8 9.074481e-01 -7.331217e-02
332 3 9 5.313531e-01 -9.244598e-02
332 3 10 3.495132e-01 -1.074421e-01
332 4 1 2.373676e+00 -3.477044e-01
332 4 2 1.046228e+01 -6.897441e-01
332 4 3 7.167594e+01 -6.729558e-01
332 4 4 -1.547889e+02 -6.456531e-01
332 4 5 6.668092e+01 -3.114505e-01
332 4 6 1.334896e+01 -2.353064e-02
332 4 7 2.573683e+00 -4.594409e-02
332 4 8 7.711593e-01 -6.619026e-02
332 4 9 3.760568e-01 -8.334871e-02
332 4 10 2.383957e-01 -9.668237e-02
332 5 1 6.360885e-01 -1.603687e-01
332 5 2 1.903023e+00 -3.185202e-01
332 5 3 7.637993e+00 -3.119388e-01
332 5 4 6.744563e+01 -3.011891e-01
332 5 5 -1.422848e+02 -2.386982e-01
332 5 6 6.317882e+01 -1.934712e-01
332 5 7 6.961846e+00 -1.985639e-01
332 5 8 1.611642e+00 -1.999702e-01
332 5 9 7.301178e-01 -1.975528e-01
332 5 10 4.183164e-01 -1.913384e-01
332 6 1 3.308665e-01 -1.405063e-02
332 6 2 1.003481e+00 -2.757795e-02
332 6 3 3.052791e+00 -2.603345e-02
332 6 4 1.279710e+01 -2.354293e-02
332 6 5 6.345588e+01 -1.947685e-01
332 6 6 -1.477442e+02 -3.699673e-01
332 6 7 6.928118e+01 -3.669982e-01
332 6 8 9.090364e+00 -3.581991e-01
332 6 9 2.455755e+00 -3.438889e-01
332 6 10 1.159065e+00 -3.245822e-01
332 7 1 4.349212e-01 -2.745932e-02
332 7 2 1.073477e+00 -5.389344e-02
332 7 3 1.726399e+00 -5.085868e-02
332 7 4 2.162290e+00 -4.596715e-02
332 7 5 7.419234e+00 -2.011016e-01
332 7 6 6.928118e+01 -3.669982e-01
332 7 7 -1.477442e+02 -3.699673e-01
332 7 8 6.928118e+01 -3.669982e-01
332 7 9 9.090364e+00 -3.581991e-01
332 7 10 2.455755e+00 -3.438889e-01
332 8 1 3.797725e-01 -3.962680e-02
332 8 2 8.074544e-01 -7.775310e-02
332 8 3 8.787229e-01 -7.333902e-02
332 8 4 7.083246e-01 -6.622115e-02
332 8 5 1.737223e+00 -2.036379e-01
332 8 6 9.090364e+00 -3.581991e-01
332 8 7 6.928118e+01 -3.669982e-01
332 8 8 -1.477442e+02 -3.699673e-01
332 8 9 6.928118e+01 -3.669982e-01
332 8 10 9.090364e+00 -3.581991e-01
332 9 1 2.887501e-01 -5.001521e-02
332 9 2 5.701470e-01 -9.811986e-02
332 9 3 5.194478e-01 -9.247637e-02
332 9 4 3.623218e-01 -8.338147e-02
332 9 5 7.849246e-01 -2.021928e-01
332 9 6 2.455755e+00 -3.438889e-01
332 9 7 9.090364e+00 -3.581991e-01
332 9 8 6.928118e+01 -3.669982e-01
332 9 9 -1.477442e+02 -3.699673e-01
332 9 10 6.928118e+01 -3.669982e-01
332 10 1 2.104755e-01 -5.820169e-02
332 10 2 4.034994e-01 -1.141410e-01
332 10 3 3.444266e-01 -1.074674e-01
332 10 4 2.343287e-01 -9.671783e-02
332 10 5 4.491909e-01 -1.967528e-01
332 10 6 1.159065e+00 -3.245822e-01
332 10 7 2.455755e+00 -3.438889e-01
332 10 8 9.090364e+00 -3.581991e-01
332 10 9 6.928118e+01 -3.669982e-01
332 10 10 -1.477442e+02 -3.699673e-01
